id,title,description,keywords,sector,group,jurisdiction,frequency,granularity_spatial,granularity_temporal,date_earliest,date_latest,access_type,format,provider,reference,url,access_method
63,Industrial category of workers,"contains the Location code number, Name of Town/ward, Area in Km,Number of households, Total population (including institutional and houseless population), Population in the age-group 0-6, Literates,SC population, ST population, literates",workers; industry,Demographics,Census handbook,Jaipur District,unknown,ward,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg.540-551",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
68,sex ratio,"contains the Sex ratio of towns, 2011",gender; sex,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T08_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
74,sex ratio among scheduled castes and tribes,"contains the Name of town, Scheduled castes sex ratio, Scheduled tribes sex ratio",gender; sex; caste; tribes,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T19_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
71,sex ratio of ages 0-6,"contains the Sex ratio of  population in the age group 0-6 of towns, 2011",gender; sex; age,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T12_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
290,Census ward counts,contains all population counts at ward level,age; gender; sex; literacy; workers; industry; census,Demographics,,Jaipur District,unknown,ward,one-time,,2011,open,xls/xlsx,Census of India,Census of India website,https://censusindia.gov.in/census.website/data/census-tables,Go to source URL
98,Industrial Areas Of Riico In Jaipur Region,Map indicating RIICO industrial zones in Jaipur Region.,industries; settlement; land use,Economy,master plan map,Jaipur Region,unknown,region,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 3-4, pg. 143",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
93,Occupational Structure,"contains  Derived occupational structure from Primary Census Abstract, Census of India, 2001","occupations
",Economy,,Jaipur District,unknown,district,one-time,,2001,open,printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1, Table 2-12, pg.59",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
97,Proposed Tourism Circuits In The Jaipur District,This dataset contains proposed tourism circuits in Jaipur District ,tourism,Economy,master plan map,Jaipur District,unknown,district,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 2-36 , pg. 112",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
96,Socio-Economic Potential,"A socio economic potential map has been arrived at based upon the economic and facility & service potential in the villages. 
",economy; industries,Economy,master plan map,Jaipur District,unknown,district,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 2-17 (pg. 69)",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
99,Tourist Arrivals,Location-wise Tourist Arrival Statistics (in million),tourism,Economy,L&T Infra Engineering Transport Study,Jaipur Region,unknown,region,one-time,,2016,private,printed table,"Office of statistics, Department of Tourism, Rajasthan","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Table 2-11, p.g 2-25",Document not yet published,Not currently available
94,Workers Profile,"contains Work Force Participation Rate, Jaipur District, 2001",workers,Economy,,Jaipur District,unknown,district,one-time,,2001,open,printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1, Table 2-13, Table 2-14, Table 2-15, pg.60-61",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
103,Air Quality (Cpcb),"This dataset provides PM2.5,PM10,NO,NO2,NOx, NH3,SO2, CO, Ozone,Benzene, Toluene, Xylene, O Xylene, Eth-Benzene, MP-Xylene, AT, RH,WS,WD,RF,TOT-RF, SR,BP, VWS for 1day,8hours, 1 hour and 15min time stamps",air quality; CPCB; PM2.5; PM10; NO2; CO; O3,Environment,,Jaipur Region,Every 15 min,discrete locations,one-time,2017,2023,open,csv,CPCB,"Cental Pollution Control Board (2024) Central Control Room for Air Quality Management, NA",https://airquality.cpcb.gov.in/ccr/#/caaqm-dashboard-all/caaqm-landing/caaqm-data-repository,Go to source URL
101,Air Quality Index (Caaqms),"This dataset provides the Levels of PM2.5, PM10, NO2, CO, O3",air quality; CAAQMS; PM2.5; PM10; NO2; CO; O3,Environment,,Jaipur Region,Every Year,discrete locations,one-time,2017,2020,open,xls/xlsx,RSPCB,"Rajasthan State Pollution Control Board (2024), NA",https://environment.rajasthan.gov.in/content/environment/en/rajasthan-state-pollution-control-board/EnvironmentalReport/DownloadableAirQualityIndexCAAQMS.html,Go to source URL
105,Climate Outlook Of Jaipur City,This dataset provides the Climatic details like Temperature and Rainfall statistics of Jaipur City.,climate; temperature; rainfall,Environment,master plan data,Jaipur Development Authority (2018),unknown,region,one-time,,2011,open,printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1, Table 3-25, pg.191",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
104,Natural Landscape Jaipur,"This catalog contains area of natural features like lake,forest,ecologically sensitve area of JDA region",topography,Environment,Smartcities.gov.in data,Jaipur Development Authority (2018),unknown,region,one-time,,2019,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/natural-landscape-jaipur,Go to source URL
102,Noise Quality Bulletin Of Rajasthan State,This dataset provides the Decibel levels in different zones,noise; decibel elvels,Environment,,Jaipur Region,Every Month,discrete locations,one-time,2024,2024,open,printed table,RSPCB,"Rajasthan State Pollution Control Board (2024), NA",https://environment.rajasthan.gov.in/content/environment/en/rajasthan-state-pollution-control-board/EnvironmentalReport/noise-monitoring-report.html,Go to source URL
106,Open Series Map (Scale: 1:50000),contains open series map image in Scale: 1:50000 based on sheet no. (not georeferenced),map; land cover,Environment,,India,unknown,spatial grid,one-time,,2011,open,printed map,Survey of india,"Survey of India (2024) Online Maps Portal, NA",https://onlinemaps.surveyofindia.gov.in/FreeMapSpecification.aspx,Go to source URL
100,"Physical Aspects And Location Of Towns, 2009","contains the Name of town, Physical aspects(Rainfall & Temperature), Name of and road distance (in kms.) from (State HQ, District HQ, Sub-Division/ Taluk/ Tahsil / Police station/ Development  Block/ Island HQ, Nearest city with population of one lakh and more, Nearest city with population of five lakh and more) Railway station and Bus route",topography; settlements,Environment,Census handbook,Jaipur District,unknown,district,one-time,,2009,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, Town Statement-II_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
107,Intermediate Public Transport Facilities,This dataset shows the Issues with IPT Facilities,intermediate public transport; three wheelers,Intermediate Public Transport,L&T Infra Engineering Transport Study,Jaipur Development Authority (2018),unknown,region,one-time,,2018,private,chart,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 3-14 pg 3-52",Document not yet published,Not currently available
109,Base Map,"This dataset provides information about Region Boundary, Contour, Railways, National Highway, State Highway, City Road-Major, City Road-Minor, Unmetalled roads, River Course/Nallah/Waterbody, Walled City",base map; land use,Land Use,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2009,open,vector map,JDA,"JDA (2011) Master Development Plan 2025, website, Mapbook 1",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook1.pdf,Go to source URL
110,Generalised Existing Land Use Map,This dataset provides the generalised existing land use for Jaipur U1 Area.,land use,Land Use,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2009,open,vector map,JDA,"JDA (2011) Master Development Plan 2025, website, Mapbook 2",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook2.pdf,Go to source URL
